State/UT,District,ds,Category,y
Andaman and Nicobar Islands,Andamans,2018-07-01,DL,32.0
Andaman and Nicobar Islands,Andamans,2018-07-01,ECT,91.11
Andaman and Nicobar Islands,Andamans,2018-07-01,GP,71.43
Andaman and Nicobar Islands,Andamans,2018-07-01,IF,74.51
Andaman and Nicobar Islands,Andamans,2018-07-01,Outcome,51.72
Andaman and Nicobar Islands,Andamans,2018-07-01,Overall,409.34
Andaman and Nicobar Islands,Andamans,2018-07-01,SS,88.57
Andaman and Nicobar Islands,Andamans,2019-07-01,DL,36.0
Andaman and Nicobar Islands,Andamans,2019-07-01,ECT,92.22
Andaman and Nicobar Islands,Andamans,2019-07-01,GP,88.1
Andaman and Nicobar Islands,Andamans,2019-07-01,IF,90.2
Andaman and Nicobar Islands,Andamans,2019-07-01,Outcome,51.72
Andaman and Nicobar Islands,Andamans,2019-07-01,Overall,455.38
Andaman and Nicobar Islands,Andamans,2019-07-01,SS,97.14
Andaman and Nicobar Islands,Andamans,2020-07-01,DL,42.0
Andaman and Nicobar Islands,Andamans,2020-07-01,ECT,93.33
Andaman and Nicobar Islands,Andamans,2020-07-01,GP,80.95
Andaman and Nicobar Islands,Andamans,2020-07-01,IF,84.31
Andaman and Nicobar Islands,Andamans,2020-07-01,Outcome,52.07
Andaman and Nicobar Islands,Andamans,2020-07-01,Overall,452.66
Andaman and Nicobar Islands,Andamans,2020-07-01,SS,100.0
Andaman and Nicobar Islands,Andamans,2021-07-01,DL,44.0
Andaman and Nicobar Islands,Andamans,2021-07-01,ECT,95.56
Andaman and Nicobar Islands,Andamans,2021-07-01,GP,75.0
Andaman and Nicobar Islands,Andamans,2021-07-01,IF,74.51
Andaman and Nicobar Islands,Andamans,2021-07-01,Outcome,46.21
Andaman and Nicobar Islands,Andamans,2021-07-01,Overall,420.99
Andaman and Nicobar Islands,Andamans,2021-07-01,SS,85.71
Andaman and Nicobar Islands,Middle and North Andamans,2018-07-01,DL,18.0
Andaman and Nicobar Islands,Middle and North Andamans,2018-07-01,ECT,88.89
Andaman and Nicobar Islands,Middle and North Andamans,2018-07-01,GP,73.81
Andaman and Nicobar Islands,Middle and North Andamans,2018-07-01,IF,72.55
Andaman and Nicobar Islands,Middle and North Andamans,2018-07-01,Outcome,53.45
Andaman and Nicobar Islands,Middle and North Andamans,2018-07-01,Overall,398.13
Andaman and Nicobar Islands,Middle and North Andamans,2018-07-01,SS,91.43
Andaman and Nicobar Islands,Middle and North Andamans,2019-07-01,DL,22.0
Andaman and Nicobar Islands,Middle and North Andamans,2019-07-01,ECT,88.89
Andaman and Nicobar Islands,Middle and North Andamans,2019-07-01,GP,84.52
Andaman and Nicobar Islands,Middle and North Andamans,2019-07-01,IF,88.24
Andaman and Nicobar Islands,Middle and North Andamans,2019-07-01,Outcome,54.14
Andaman and Nicobar Islands,Middle and North Andamans,2019-07-01,Overall,437.79
Andaman and Nicobar Islands,Middle and North Andamans,2019-07-01,SS,100.0
Andaman and Nicobar Islands,Middle and North Andamans,2020-07-01,DL,28.0
